RSSI 5 metri;RTT 5 metri;;RSSI 10 metri;RTT 10 metri;;RSSI 15 metri;RTT 15 metri;;RSSI 20 metri;RTT 20 metri;;RSSI 25 metri;RTT  25 metri;;RSSI 30 metri ;RTT 30 metri;;RSSI  35 metri;RTT 35 metri;;RSSI 40 metri;RTT 40 metri
-53;5,69;;-68;6,21;;-65;4,41;;-60;5,87;;-56;4,89;;-68;5,72;;-64;5,8;;-67;5,36
-53;5,64;;-68;6,67;;-68;4,58;;-60;4,9;;-59;4,85;;-67;5,55;;-64;5,64;;-68;5,03
-53;7,41;;-68;17,7;;-68;4,18;;-60;5,81;;-59;4,38;;-65;8,28;;-64;5,8;;-65;7,04
-53;5,62;;-68;6,41;;-68;4,7;;-60;5,74;;-59;4,61;;-68;4,66;;-64;8,36;;-65;5,47
-53;5,73;;-69;16,2;;-66;4,35;;-60;5,56;;-59;4,45;;-68;5,66;;-64;4,94;;-65;7,58
-53;7,67;;-68;6,4;;-68;4,36;;-60;7,1;;-59;4,01;;-68;7,16;;-64;4,99;;-64;5,49
-53;5,82;;-68;6,43;;-68;4,36;;-60;7,01;;-59;4,87;;-68;5,48;;-64;5,39;;-65;5,61
-53;6,99;;-68;12,5;;-66;4,86;;-60;5,4;;-59;4,47;;-68;5,72;;-64;5,01;;-64;5,46
-53;5,85;;-68;9,54;;-68;4,75;;-60;5,63;;-59;4,14;;-68;4,44;;-64;5,55;;-65;4,94
-53;5,59;;-68;4,22;;-66;6,52;;-53;8,1;;-59;4,54;;-67;5,07;;-64;5,53;;-65;5,25
-53;5,27;;-68;4,32;;-68;4,27;;-60;5,88;;-58;6,78;;-67;5,32;;-64;5,78;;-63;5,35
-53;5,84;;-70;13,4;;-69;4,47;;-60;5,75;;-59;4,48;;-67;5,47;;-64;5,68;;-64;5,46
-53;8,35;;-68;13,9;;-68;4;;-60;4,9;;-59;4,58;;-68;5,12;;-64;4,97;;-64;5,44
-53;5,79;;-68;16,8;;-68;4,52;;-60;5,32;;-56;4,56;;-68;5,4;;-64;4,49;;-64;9,73
-53;5,67;;-69;7,63;;-68;6,02;;-60;5,33;;-59;4,26;;-68;5,51;;-64;9,3;;-64;4,93
-53;5,77;;-68;11,4;;-69;4,05;;-60;5,67;;-58;4,6;;-68;5,47;;-64;4,28;;-64;5,18
-53;5,56;;-68;12,8;;-68;6,63;;-60;5,41;;-59;3,89;;-68;5,09;;-64;5,89;;-64;5,24
-53;5,37;;-68;12,2;;-68;4,74;;-60;5,73;;-59;4,76;;-68;5,45;;-64;4,58;;-64;5,88
-52;5,58;;-68;11,6;;-69;7,31;;-60;5,82;;-59;4,28;;-68;5,84;;-64;4,22;;-65;5,07
-53;5,22;;-68;6,04;;-68;4,27;;-60;5,85;;-59;4,65;;-68;5,34;;-64;4,77;;-69;4,95
-53;5,82;;-68;17,1;;-69;4,56;;-60;5,63;;-59;7,25;;-68;5,04;;-66;4,21;;-68;5,51
-53;5,75;;-69;19,6;;-67;4,82;;-60;5,14;;-59;4,46;;-68;7,76;;-65;7,1;;-65;5,56
-53;5,81;;-68;4,76;;-68;4,01;;-60;5,76;;-59;4,46;;-68;5,02;;-69;4,62;;-69;5,65
-53;5,62;;-68;7,21;;-69;5,81;;-60;5,74;;-59;4,67;;-68;5,42;;-65;4,1;;-68;7,88
-53;5,45;;-68;7,58;;-68;4,77;;-60;6,83;;-59;6,72;;-67;5,91;;-65;5,08;;-67;5,03
-53;5,57;;-69;7,1;;-68;4,04;;-60;5,76;;-59;4,81;;-67;5,05;;-65;4,8;;-67;5,87
-53;4,96;;-68;10,6;;-65;4,65;;-60;7,16;;-59;7,55;;-67;5,85;;-65;4,82;;-69;6,21
-53;5,26;;-68;8,14;;-68;7,07;;-60;6,24;;-59;4,31;;-67;5,85;;-65;4,06;;-67;5,21
-52;5,05;;-68;4,19;;-68;4,54;;-60;5,3;;-59;4,78;;-67;5,38;;-65;3,95;;-67;5,1
-53;7,06;;-68;8,44;;-68;7,98;;-60;5,47;;-59;4,34;;-67;5,84;;-65;5,04;;-66;5,15
-53;5,46;;-68;4,83;;-68;5,16;;-60;4,95;;-59;7,19;;-67;5,54;;-65;4,43;;-66;5,86
-53;7;;-68;11,2;;-65;4,09;;-60;5,16;;-59;7,3;;-67;5,81;;-65;5,65;;-68;5,62
-53;5,81;;-68;10,3;;-68;5,08;;-60;7,42;;-59;4,27;;-67;7,49;;-65;3,97;;-68;5,09
-53;5,65;;-69;14,3;;-68;4,34;;-60;5,32;;-59;3,98;;-67;7,79;;-65;4,65;;-66;5,4
-50;7,02;;-68;4,2;;-67;4,02;;-60;8,49;;-59;5,23;;-65;5,33;;-66;4,29;;-66;7,86
-53;5,09;;-68;6,14;;-68;5,48;;-59;5,11;;-59;4,1;;-67;5,56;;-65;4,39;;-70;5,18
-53;5,69;;-68;11,9;;-65;4,72;;-60;5,58;;-59;7,52;;-68;5,05;;-66;4,37;;-69;6,08
-53;5,68;;-65;12,9;;-67;4,2;;-60;5,01;;-59;4,9;;-67;5,66;;-65;7,54;;-66;7,08
-53;6,69;;-68;13,7;;-65;4,03;;-60;5,32;;-58;4,26;;-67;5,89;;-65;4,31;;-66;5,72
-53;6,01;;-68;6,06;;-65;5,88;;-59;5,23;;-59;6,71;;-68;5,81;;-65;8,63;;-69;6,05
-53;5,26;;-69;12,2;;-68;5,17;;-59;5,81;;-59;4,43;;-68;5,24;;-66;4,28;;-69;5,82
-53;5,61;;-68;10;;-68;4,25;;-60;5,15;;-59;4,36;;-68;5,14;;-66;4,16;;-67;5,88
-53;5,44;;-68;11,1;;-68;7,35;;-60;5,53;;-59;4,18;;-68;5,53;;-65;7,56;;-69;5,06
-53;5,36;;-68;6,94;;-68;4,47;;-59;5,45;;-59;4,13;;-65;5,65;;-65;4,44;;-69;5,25
-53;5,61;;-65;21,3;;-68;4,15;;-59;7,64;;-59;4,8;;-65;6,3;;-65;7,85;;-66;5,04
-53;5,42;;-68;10,2;;-68;4,73;;-59;5,41;;-74;4,27;;-68;5,79;;-66;7,14;;-67;5,73
-53;5,52;;-68;19,1;;-68;4,45;;-60;5,74;;-59;4,2;;-68;5,21;;-66;4,75;;-70;5,66
-53;5,86;;-69;5,98;;-68;4,49;;-60;5,79;;-53;4,66;;-68;8,36;;-66;4,38;;-67;5,28
-52;5,1;;-68;17,9;;-66;4,76;;-59;5,58;;-59;4,21;;-67;5,9;;-63;4,68;;-69;5,54
-53;5,34;;-68;5,14;;-68;4,87;;-59;7,17;;-59;4,49;;-67;5,36;;-65;4,81;;-67;5,67
-53;5,16;;-68;15,5;;-69;4,56;;-60;5,32;;-59;4,14;;-68;5,5;;-65;4,46;;-69;5,21
-53;5,14;;-68;5,65;;-66;4,41;;-60;6,97;;-59;4,58;;-68;5,81;;-65;4,01;;-69;5,61
-52;5,78;;-68;21,5;;-68;4,79;;-60;5,81;;-59;4,46;;-68;7,09;;-65;4,69;;-69;5,61
-52;5,85;;-68;8,43;;-68;4,12;;-60;5,7;;-59;4,41;;-67;8,52;;-65;4,52;;-66;5,09
-52;5,57;;-68;13,4;;-68;5,52;;-60;5,06;;-59;4,07;;-68;5,64;;-66;4,63;;-69;4,93
